"item","substitute"
"266012008","145519009"
"145519009","473588007"
"473588007","145519009"
"145519009","473588012"
"473588012","145519009"
"145519009","266012011"
"266012011","145519009"
"145519012","153701007"
"153701007","145519012"
"145519012","153701011"
"153701011","145519012"
"145519012","234423010"
"234423010","145519012"
"145519012","153701010"
"153701010","145519012"
"145519012","153701006"
"153701006","145519012"
"145519012","266012007"
"266012007","145519012"
"145519012","234423009"
"234423009","145519012"
"145519012","234423011"
"234423011","145519012"
"145519012","266012009"
"266012009","145519012"
"145519012","153701009"
"153701009","145519012"
"145519012","266012006"
"266012006","145519012"
"145519012","266012008"
"266012008","145519012"
"145519012","473588007"
"473588007","145519012"
"145519012","473588012"
"473588012","145519012"
"145519012","266012011"
"266012011","145519012"
"153701007","234423010"
"234423010","153701007"
"153701007","266012007"
"266012007","153701007"
"153701007","234423009"
"234423009","153701007"
"153701007","234423011"
"234423011","153701007"
"153701007","266012009"
"266012009","153701007"
"153701007","266012006"
"266012006","153701007"
"153701007","266012008"
"266012008","153701007"
"153701007","473588007"
"473588007","153701007"
"153701007","473588012"
"473588012","153701007"
"153701007","266012011"
"266012011","153701007"
"153701011","234423010"
"234423010","153701011"
"153701011","266012007"
"266012007","153701011"
"153701011","234423009"
"234423009","153701011"
"153701011","234423011"
"234423011","153701011"
"153701011","266012009"
"266012009","153701011"
"153701011","266012006"
"266012006","153701011"
"153701011","266012008"
"266012008","153701011"
"153701011","473588007"
"473588007","153701011"
"153701011","473588012"
"473588012","153701011"
"153701011","266012011"
"266012011","153701011"
"234423010","153701010"
"153701010","234423010"
"234423010","153701006"
"153701006","234423010"
"234423010","266012007"
"266012007","234423010"
"234423010","153701012"
"153701012","234423010"
"234423010","153701008"
"153701008","234423010"
"234423010","266012009"
"266012009","234423010"
"234423010","153701005"
"153701005","234423010"
"234423010","153701009"
"153701009","234423010"
"234423010","266012006"
"266012006","234423010"
"234423010","266012008"
"266012008","234423010"
"234423010","473588007"
"473588007","234423010"
"234423010","473588012"
"473588012","234423010"
"234423010","266012011"
"266012011","234423010"
"153701010","266012007"
"266012007","153701010"
"153701010","234423009"
"234423009","153701010"
"153701010","234423011"
"234423011","153701010"
"153701010","266012009"
"266012009","153701010"
"153701010","266012006"
"266012006","153701010"
"153701010","266012008"
"266012008","153701010"
"153701010","473588007"
"473588007","153701010"
"153701010","473588012"
"473588012","153701010"
"153701010","266012011"
"266012011","153701010"
"153701006","266012007"
"266012007","153701006"
"153701006","234423009"
"234423009","153701006"
"153701006","234423011"
"234423011","153701006"
"153701006","266012009"
"266012009","153701006"
"153701006","266012006"
"266012006","153701006"
"153701006","266012008"
"266012008","153701006"
"153701006","473588007"
"473588007","153701006"
"153701006","473588012"
"473588012","153701006"
"153701006","266012011"
"266012011","153701006"
"266012007","234423009"
"234423009","266012007"
"266012007","153701012"
"153701012","266012007"
"266012007","234423011"
"234423011","266012007"
"266012007","153701008"
"153701008","266012007"
"266012007","266012009"
"266012009","266012007"
"266012007","153701005"
"153701005","266012007"
"266012007","153701009"
"153701009","266012007"
"266012007","266012008"
"266012008","266012007"
"266012007","473588007"
"473588007","266012007"
"266012007","473588012"
"473588012","266012007"
"266012007","266012011"
"266012011","266012007"
"234423009","153701012"
"153701012","234423009"
"234423009","153701008"
"153701008","234423009"
"234423009","266012009"
"266012009","234423009"
"234423009","153701005"
"153701005","234423009"
"234423009","153701009"
"153701009","234423009"
"234423009","266012006"
"266012006","234423009"
"234423009","266012008"
"266012008","234423009"
"234423009","473588007"
"473588007","234423009"
"234423009","473588012"
"473588012","234423009"
"234423009","266012011"
"266012011","234423009"
"153701012","234423011"
"234423011","153701012"
"153701012","266012009"
"266012009","153701012"
"153701012","266012006"
"266012006","153701012"
"153701012","266012008"
"266012008","153701012"
"153701012","473588007"
"473588007","153701012"
"153701012","473588012"
"473588012","153701012"
"153701012","266012011"
"266012011","153701012"
"234423011","153701008"
"153701008","234423011"
"234423011","266012009"
"266012009","234423011"
"234423011","153701005"
"153701005","234423011"
"234423011","153701009"
"153701009","234423011"
"234423011","266012006"
"266012006","234423011"
"234423011","266012008"
"266012008","234423011"
"234423011","473588007"
"473588007","234423011"
"234423011","473588012"
"473588012","234423011"
"234423011","266012011"
"266012011","234423011"
"153701008","266012009"
"266012009","153701008"
"153701008","266012006"
"266012006","153701008"
"153701008","266012008"
"266012008","153701008"
"153701008","473588007"
"473588007","153701008"
"153701008","473588012"
"473588012","153701008"
"153701008","266012011"
"266012011","153701008"
"266012009","153701005"
"153701005","266012009"
"266012009","153701009"
"153701009","266012009"
"266012009","266012006"
"266012006","266012009"
"266012009","266012008"
"266012008","266012009"
"266012009","473588007"
"473588007","266012009"
"266012009","473588012"
"473588012","266012009"
"266012009","266012011"
"266012011","266012009"
"153701005","266012006"
"266012006","153701005"
"153701005","266012008"
"266012008","153701005"
"153701005","473588007"
"473588007","153701005"
"153701005","473588012"
"473588012","153701005"
"153701005","266012011"
"266012011","153701005"
"153701009","266012006"
"266012006","153701009"
"153701009","266012008"
"266012008","153701009"
"153701009","473588007"
"473588007","153701009"
"153701009","473588012"
"473588012","153701009"
"153701009","266012011"
"266012011","153701009"
"266012006","266012008"
"266012008","266012006"
"266012006","473588007"
"473588007","266012006"
"266012006","473588012"
"473588012","266012006"
"266012006","266012011"
"266012011","266012006"
"266012008","473588007"
"473588007","266012008"
"266012008","473588012"
"473588012","266012008"
"266012008","266012011"
"266012011","266012008"
"473588007","473588012"
"473588012","473588007"
"473588007","266012011"
"266012011","473588007"
"473588012","266012011"
"266012011","473588012"
"241119010","296592011"
"296592011","241119010"
"241119010","296592012"
"296592012","241119010"
"241119010","241119012"
"241119012","241119010"
"241119010","241119011"
"241119011","241119010"
"241119010","152576010"
"152576010","241119010"
"241119010","152576008"
"152576008","241119010"
"241119010","152576009"
"152576009","241119010"
"241119010","408737006"
"408737006","241119010"
"241119010","152576011"
"152576011","241119010"
"241119010","408737004"
"408737004","241119010"
"241119010","408737005"
"408737005","241119010"
"241119010","999363642"
"999363642","241119010"
"241119010","408737012"
"408737012","241119010"
"241119010","408737008"
"408737008","241119010"
"296592011","296592012"
"296592012","296592011"
"296592011","241119012"
"241119012","296592011"
"296592011","241119011"
"241119011","296592011"
"296592011","152576010"
"152576010","296592011"
"296592011","152576008"
"152576008","296592011"
"296592011","152576009"
"152576009","296592011"
"296592011","408737006"
"408737006","296592011"
"296592011","152576011"
"152576011","296592011"
"296592011","408737004"
"408737004","296592011"
"296592011","408737005"
"408737005","296592011"
"296592011","999363642"
"999363642","296592011"
"296592011","408737012"
"408737012","296592011"
"296592011","408737008"
"408737008","296592011"
"296592012","241119012"
"241119012","296592012"
"296592012","241119011"
"241119011","296592012"
"296592012","152576010"
"152576010","296592012"
"296592012","152576008"
"152576008","296592012"
"296592012","152576009"
"152576009","296592012"
"296592012","408737006"
"408737006","296592012"
"296592012","152576011"
"152576011","296592012"
"296592012","408737004"
"408737004","296592012"
"296592012","408737005"
"408737005","296592012"
"296592012","999363642"
"999363642","296592012"
"296592012","408737012"
"408737012","296592012"
"296592012","408737008"
"408737008","296592012"
"241119012","241119011"
"241119011","241119012"
"241119012","152576010"
"152576010","241119012"
"241119012","152576008"
"152576008","241119012"
"241119012","152576009"
"152576009","241119012"
"241119012","408737006"
"408737006","241119012"
"241119012","152576011"
"152576011","241119012"
"241119012","408737004"
"408737004","241119012"
"241119012","408737005"
"408737005","241119012"
"241119012","999363642"
"999363642","241119012"
"241119012","408737012"
"408737012","241119012"
"241119012","408737008"
"408737008","241119012"
"241119011","152576010"
"152576010","241119011"
"241119011","152576008"
"152576008","241119011"
"241119011","152576009"
"152576009","241119011"
"241119011","408737006"
"408737006","241119011"
"241119011","152576011"
"152576011","241119011"
"241119011","408737004"
"408737004","241119011"
"241119011","408737005"
"408737005","241119011"
"241119011","999363642"
"999363642","241119011"
"241119011","408737012"
"408737012","241119011"
"241119011","408737008"
"408737008","241119011"
"152576010","152576008"
"152576008","152576010"
"152576010","152576009"
"152576009","152576010"
"152576010","408737006"
"408737006","152576010"
"152576010","152576011"
"152576011","152576010"
"152576010","408737004"
"408737004","152576010"
"152576010","408737005"
"408737005","152576010"
"152576010","999363642"
"999363642","152576010"
"152576010","408737012"
"408737012","152576010"
"152576010","408737008"
"408737008","152576010"
"152576008","152576009"
"152576009","152576008"
"152576008","408737006"
"408737006","152576008"
"152576008","152576011"
"152576011","152576008"
"152576008","408737004"
"408737004","152576008"
"152576008","408737005"
"408737005","152576008"
"152576008","999363642"
"999363642","152576008"
"152576008","408737012"
"408737012","152576008"
"152576008","408737008"
"408737008","152576008"
"152576009","408737006"
"408737006","152576009"
"152576009","152576011"
"152576011","152576009"
"152576009","408737004"
"408737004","152576009"
"152576009","408737005"
"408737005","152576009"
"152576009","999363642"
"999363642","152576009"
"152576009","408737012"
"408737012","152576009"
"152576009","408737008"
"408737008","152576009"
"408737006","152576011"
"152576011","408737006"
"408737006","408737004"
"408737004","408737006"
"408737006","408737005"
"408737005","408737006"
"408737006","999363642"
"999363642","408737006"
"408737006","408737012"
"408737012","408737006"
"408737006","408737008"
"408737008","408737006"
"152576011","408737004"
"408737004","152576011"
"152576011","408737005"
"408737005","152576011"
"152576011","999363642"
"999363642","152576011"
"152576011","408737012"
"408737012","152576011"
"152576011","408737008"
"408737008","152576011"
"408737004","408737005"
"408737005","408737004"
"408737004","999363642"
"999363642","408737004"
"408737004","408737012"
"408737012","408737004"
"408737004","408737008"
"408737008","408737004"
"408737005","999363642"
"999363642","408737005"
"408737005","408737012"
"408737012","408737005"
"408737005","408737008"
"408737008","408737005"
"999363642","408737012"
"408737012","999363642"
"999363642","408737008"
"408737008","999363642"
"408737012","408737008"
"408737008","408737012"
"999158354","299893012"
"299893012","999158354"
"999158354","299894010"
"299894010","999158354"
"999158354","299893011"
"299893011","999158354"
"999158354","156282009"
"156282009","999158354"
"999158354","177402006"
"177402006","999158354"
"999158354","299894012"
"299894012","999158354"
"999158354","156282010"
"156282010","999158354"
"999158354","178738006"
"178738006","999158354"
"999158354","999160042"
"999160042","999158354"
"999158354","178718010"
"178718010","999158354"
"999158354","162500009"
"162500009","999158354"
"999158354","177402008"
"177402008","999158354"
"999158354","178738012"
"178738012","999158354"
"999158354","178738010"
"178738010","999158354"
"999158354","177402007"
"177402007","999158354"
"999158354","299894009"
"299894009","999158354"
"999158354","177402011"
"177402011","999158354"
"999158354","177402009"
"177402009","999158354"
"999158354","299894011"
"299894011","999158354"
"999158354","177402010"
"177402010","999158354"
"999158354","999160043"
"999160043","999158354"
"999158354","178708011"
"178708011","999158354"
"999158354","178738009"
"178738009","999158354"
"999158354","178708012"
"178708012","999158354"
"999158354","162500010"
"162500010","999158354"
"999158354","266417011"
"266417011","999158354"
"999158354","178718008"
"178718008","999158354"
"999158354","234415012"
"234415012","999158354"
"999158354","266417009"
"266417009","999158354"
"999158354","178718012"
"178718012","999158354"
"999158354","162500011"
"162500011","999158354"
"999158354","178738007"
"178738007","999158354"
"999158354","178738011"
"178738011","999158354"
"999158354","158284008"
"158284008","999158354"
"999158354","178738008"
"178738008","999158354"
"999158354","234415006"
"234415006","999158354"
"999158354","178718007"
"178718007","999158354"
"999158354","178718009"
"178718009","999158354"
"999158354","162500012"
"162500012","999158354"
"999158354","158284005"
"158284005","999158354"
"999158354","158284006"
"158284006","999158354"
"999158354","234415008"
"234415008","999158354"
"999158354","234415009"
"234415009","999158354"
"999158354","234415010"
"234415010","999158354"
"999158354","234415007"
"234415007","999158354"
"999158354","234415011"
"234415011","999158354"
"999158354","158284007"
"158284007","999158354"
"999158354","158284012"
"158284012","999158354"
"999158354","158284009"
"158284009","999158354"
"999158354","158284011"
"158284011","999158354"
"999158354","158284010"
"158284010","999158354"
"999158354","248622011"
"248622011","999158354"
"999158354","248622012"
"248622012","999158354"
"999158354","248622010"
"248622010","999158354"
"999158354","999365244"
"999365244","999158354"
"999158354","450103010"
"450103010","999158354"
"999158354","450103011"
"450103011","999158354"
"299893012","156282009"
"156282009","299893012"
"299893012","177402006"
"177402006","299893012"
"299893012","299894012"
"299894012","299893012"
"299893012","156282010"
"156282010","299893012"
"299893012","178738006"
"178738006","299893012"
"299893012","999160042"
"999160042","299893012"
"299893012","178718010"
"178718010","299893012"
"299893012","162500009"
"162500009","299893012"
"299893012","177402008"
"177402008","299893012"
"299893012","178738012"
"178738012","299893012"
"299893012","178738010"
"178738010","299893012"
"299893012","177402007"
"177402007","299893012"
"299893012","299894009"
"299894009","299893012"
"299893012","177402011"
"177402011","299893012"
"299893012","177402009"
"177402009","299893012"
"299893012","299894011"
"299894011","299893012"
"299893012","177402010"
"177402010","299893012"
"299893012","999160043"
"999160043","299893012"
"299893012","178708011"
"178708011","299893012"
"299893012","178738009"
"178738009","299893012"
"299893012","178708012"
"178708012","299893012"
"299893012","162500010"
"162500010","299893012"
"299893012","266417011"
"266417011","299893012"
"299893012","178718008"
"178718008","299893012"
"299893012","234415012"
"234415012","299893012"
"299893012","266417009"
"266417009","299893012"
"299893012","178718012"
"178718012","299893012"
"299893012","162500011"
"162500011","299893012"
"299893012","178738007"
"178738007","299893012"
"299893012","178738011"
"178738011","299893012"
"299893012","158284008"
"158284008","299893012"
"299893012","178738008"
"178738008","299893012"
"299893012","234415006"
"234415006","299893012"
"299893012","178718007"
"178718007","299893012"
"299893012","178718009"
"178718009","299893012"
"299893012","162500012"
"162500012","299893012"
"299893012","158284005"
"158284005","299893012"
"299893012","158284006"
"158284006","299893012"
"299893012","234415008"
"234415008","299893012"
"299893012","234415009"
"234415009","299893012"
"299893012","234415010"
"234415010","299893012"
"299893012","234415007"
"234415007","299893012"
"299893012","234415011"
"234415011","299893012"
"299893012","158284007"
"158284007","299893012"
"299893012","158284012"
"158284012","299893012"
"299893012","158284009"
"158284009","299893012"
"299893012","158284011"
"158284011","299893012"
"299893012","158284010"
"158284010","299893012"
"299893012","248622011"
"248622011","299893012"
"299893012","248622012"
"248622012","299893012"
"299893012","248622010"
"248622010","299893012"
"299893012","999365244"
"999365244","299893012"
"299893012","450103010"
"450103010","299893012"
"299893012","450103011"
"450103011","299893012"
"299894010","299893011"
"299893011","299894010"
"299894010","156282009"
"156282009","299894010"
"299894010","177402006"
"177402006","299894010"
"299894010","299894012"
"299894012","299894010"
"299894010","156282010"
"156282010","299894010"
"299894010","178738006"
"178738006","299894010"
"299894010","999160042"
"999160042","299894010"
"299894010","178718010"
"178718010","299894010"
"299894010","162500009"
"162500009","299894010"
"299894010","177402008"
"177402008","299894010"
"299894010","178738012"
"178738012","299894010"
"299894010","178738010"
"178738010","299894010"
"299894010","177402007"
"177402007","299894010"
"299894010","299894009"
"299894009","299894010"
"299894010","177402011"
"177402011","299894010"
"299894010","177402009"
"177402009","299894010"
"299894010","299894011"
"299894011","299894010"
"299894010","177402010"
"177402010","299894010"
"299894010","999160043"
"999160043","299894010"
"299894010","178708011"
"178708011","299894010"
"299894010","178738009"
"178738009","299894010"
"299894010","178708012"
"178708012","299894010"
"299894010","162500010"
"162500010","299894010"
"299894010","266417011"
"266417011","299894010"
"299894010","178718008"
"178718008","299894010"
"299894010","234415012"
"234415012","299894010"
"299894010","266417009"
"266417009","299894010"
"299894010","178718012"
"178718012","299894010"
"299894010","162500011"
"162500011","299894010"
"299894010","178738007"
"178738007","299894010"
"299894010","178738011"
"178738011","299894010"
"299894010","158284008"
"158284008","299894010"
"299894010","178738008"
"178738008","299894010"
"299894010","234415006"
"234415006","299894010"
"299894010","178718007"
"178718007","299894010"
"299894010","178718009"
"178718009","299894010"
"299894010","162500012"
"162500012","299894010"
"299894010","158284005"
"158284005","299894010"
"299894010","158284006"
"158284006","299894010"
"299894010","234415008"
"234415008","299894010"
"299894010","234415009"
"234415009","299894010"
"299894010","234415010"
"234415010","299894010"
"299894010","234415007"
"234415007","299894010"
"299894010","234415011"
"234415011","299894010"
"299894010","158284007"
"158284007","299894010"
"299894010","158284012"
"158284012","299894010"
"299894010","158284009"
"158284009","299894010"
"299894010","158284011"
"158284011","299894010"
"299894010","158284010"
"158284010","299894010"
"299894010","248622011"
"248622011","299894010"
"299894010","248622012"
"248622012","299894010"
"299894010","248622010"
"248622010","299894010"
"299894010","999365244"
"999365244","299894010"
"299894010","450103010"
"450103010","299894010"
"299894010","450103011"
"450103011","299894010"
"299893011","156282009"
"156282009","299893011"
"299893011","177402006"
"177402006","299893011"
"299893011","299894012"
"299894012","299893011"
"299893011","156282010"
"156282010","299893011"
"299893011","178738006"
"178738006","299893011"
"299893011","999160042"
"999160042","299893011"
"299893011","178718010"
"178718010","299893011"
"299893011","162500009"
"162500009","299893011"
"299893011","177402008"
"177402008","299893011"
"299893011","178738012"
"178738012","299893011"
"299893011","178738010"
"178738010","299893011"
"299893011","177402007"
"177402007","299893011"
"299893011","299894009"
"299894009","299893011"
"299893011","177402011"
"177402011","299893011"
"299893011","177402009"
"177402009","299893011"
"299893011","299894011"
"299894011","299893011"
"299893011","177402010"
"177402010","299893011"
"299893011","999160043"
"999160043","299893011"
"299893011","178708011"
"178708011","299893011"
"299893011","178738009"
"178738009","299893011"
"299893011","178708012"
"178708012","299893011"
"299893011","162500010"
"162500010","299893011"
"299893011","266417011"
"266417011","299893011"
"299893011","178718008"
"178718008","299893011"
"299893011","234415012"
"234415012","299893011"
"299893011","266417009"
"266417009","299893011"
"299893011","178718012"
"178718012","299893011"
"299893011","162500011"
"162500011","299893011"
"299893011","178738007"
"178738007","299893011"
"299893011","178738011"
"178738011","299893011"
"299893011","158284008"
"158284008","299893011"
"299893011","178738008"
"178738008","299893011"
"299893011","234415006"
"234415006","299893011"
"299893011","178718007"
"178718007","299893011"
"299893011","178718009"
"178718009","299893011"
"299893011","162500012"
"162500012","299893011"
"299893011","158284005"
"158284005","299893011"
"299893011","158284006"
"158284006","299893011"
"299893011","234415008"
"234415008","299893011"
"299893011","234415009"
"234415009","299893011"
"299893011","234415010"
"234415010","299893011"
"299893011","234415007"
"234415007","299893011"
"299893011","234415011"
"234415011","299893011"
"299893011","158284007"
"158284007","299893011"
"299893011","158284012"
"158284012","299893011"
"299893011","158284009"
"158284009","299893011"
"299893011","158284011"
"158284011","299893011"
"299893011","158284010"
"158284010","299893011"
"299893011","248622011"
"248622011","299893011"
"299893011","248622012"
"248622012","299893011"
"299893011","248622010"
"248622010","299893011"
"299893011","999365244"
"999365244","299893011"
"299893011","450103010"
"450103010","299893011"
"299893011","450103011"
"450103011","299893011"
"156282009","177402006"
"177402006","156282009"
"156282009","299894012"
"299894012","156282009"
"156282009","178738006"
"178738006","156282009"
"156282009","999160042"
"999160042","156282009"
"156282009","178718010"
"178718010","156282009"
"156282009","162500009"
"162500009","156282009"
"156282009","177402008"
"177402008","156282009"
"156282009","178738012"
"178738012","156282009"
"156282009","178738010"
"178738010","156282009"
"156282009","177402007"
"177402007","156282009"
"156282009","299894009"
"299894009","156282009"
"156282009","177402011"
"177402011","156282009"
"156282009","177402009"
"177402009","156282009"
"156282009","299894011"
"299894011","156282009"
"156282009","177402010"
"177402010","156282009"
"156282009","999160043"
"999160043","156282009"
"156282009","178708011"
"178708011","156282009"
"156282009","178738009"
"178738009","156282009"
"156282009","178708012"
"178708012","156282009"
"156282009","162500010"
"162500010","156282009"
"156282009","266417011"
"266417011","156282009"
"156282009","178718008"
"178718008","156282009"
"156282009","234415012"
"234415012","156282009"
"156282009","266417009"
"266417009","156282009"
"156282009","178718012"
"178718012","156282009"
"156282009","162500011"
"162500011","156282009"
"156282009","178738007"
"178738007","156282009"
"156282009","178738011"
"178738011","156282009"
"156282009","158284008"
"158284008","156282009"
"156282009","178738008"
"178738008","156282009"
"156282009","234415006"
"234415006","156282009"
"156282009","178718007"
"178718007","156282009"
"156282009","178718009"
"178718009","156282009"
"156282009","162500012"
"162500012","156282009"
"156282009","158284005"
"158284005","156282009"
"156282009","158284006"
"158284006","156282009"
"156282009","234415008"
"234415008","156282009"
"156282009","234415009"
"234415009","156282009"
"156282009","234415010"
"234415010","156282009"
"156282009","234415007"
"234415007","156282009"
"156282009","234415011"
"234415011","156282009"
"156282009","158284007"
"158284007","156282009"
"156282009","158284012"
"158284012","156282009"
"156282009","158284009"
"158284009","156282009"
"156282009","158284011"
"158284011","156282009"
"156282009","158284010"
"158284010","156282009"
"156282009","248622011"
"248622011","156282009"
"156282009","248622012"
"248622012","156282009"
"156282009","248622010"
"248622010","156282009"
"156282009","999365244"
"999365244","156282009"
"156282009","450103010"
"450103010","156282009"
"156282009","450103011"
"450103011","156282009"
"177402006","299894012"
"299894012","177402006"
"177402006","156282010"
"156282010","177402006"
"177402006","178738006"
"178738006","177402006"
"177402006","999160042"
"999160042","177402006"
"177402006","178718010"
"178718010","177402006"
"177402006","162500009"
"162500009","177402006"
"177402006","178738012"
"178738012","177402006"
"177402006","178738010"
"178738010","177402006"
"177402006","299894009"
"299894009","177402006"
"177402006","299894011"
"299894011","177402006"
"177402006","999160043"
"999160043","177402006"
"177402006","178708011"
"178708011","177402006"
"177402006","178738009"
"178738009","177402006"
"177402006","178708012"
"178708012","177402006"
"177402006","162500010"
"162500010","177402006"
"177402006","266417011"
"266417011","177402006"
"177402006","178718008"
"178718008","177402006"
"177402006","234415012"
"234415012","177402006"
"177402006","266417009"
"266417009","177402006"
"177402006","178718012"
"178718012","177402006"
"177402006","162500011"
"162500011","177402006"
"177402006","178738007"
"178738007","177402006"
"177402006","178738011"
"178738011","177402006"
"177402006","158284008"
"158284008","177402006"
"177402006","178738008"
"178738008","177402006"
"177402006","234415006"
"234415006","177402006"
"177402006","178718007"
"178718007","177402006"
"177402006","178718009"
"178718009","177402006"
"177402006","162500012"
"162500012","177402006"
"177402006","158284005"
"158284005","177402006"
"177402006","158284006"
"158284006","177402006"
"177402006","234415008"
"234415008","177402006"
"177402006","234415009"
"234415009","177402006"
"177402006","234415010"
"234415010","177402006"
"177402006","234415007"
"234415007","177402006"
"177402006","234415011"
"234415011","177402006"
"177402006","158284007"
"158284007","177402006"
"177402006","158284012"
"158284012","177402006"
"177402006","158284009"
"158284009","177402006"
"177402006","158284011"
"158284011","177402006"
"177402006","158284010"
"158284010","177402006"
"177402006","248622011"
"248622011","177402006"
"177402006","248622012"
"248622012","177402006"
"177402006","248622010"
"248622010","177402006"
"177402006","999365244"
"999365244","177402006"
"177402006","450103010"
"450103010","177402006"
"177402006","450103011"
"450103011","177402006"
"299894012","156282010"
"156282010","299894012"
"299894012","178738006"
"178738006","299894012"
"299894012","999160042"
"999160042","299894012"
"299894012","178718010"
"178718010","299894012"
"299894012","162500009"
"162500009","299894012"
"299894012","177402008"
"177402008","299894012"
"299894012","178738012"
"178738012","299894012"
"299894012","178738010"
"178738010","299894012"
"299894012","177402007"
"177402007","299894012"
"299894012","177402011"
"177402011","299894012"
"299894012","177402009"
"177402009","299894012"
"299894012","299894011"
"299894011","299894012"
"299894012","177402010"
"177402010","299894012"
"299894012","999160043"
"999160043","299894012"
"299894012","178708011"
"178708011","299894012"
"299894012","178738009"
"178738009","299894012"
"299894012","178708012"
"178708012","299894012"
"299894012","162500010"
"162500010","299894012"
"299894012","266417011"
"266417011","299894012"
"299894012","178718008"
"178718008","299894012"
"299894012","234415012"
"234415012","299894012"
"299894012","266417009"
"266417009","299894012"
"299894012","178718012"
"178718012","299894012"
"299894012","162500011"
"162500011","299894012"
"299894012","178738007"
"178738007","299894012"
"299894012","178738011"
"178738011","299894012"
"299894012","158284008"
"158284008","299894012"
"299894012","178738008"
"178738008","299894012"
"299894012","234415006"
"234415006","299894012"
"299894012","178718007"
"178718007","299894012"
"299894012","178718009"
"178718009","299894012"
"299894012","162500012"
"162500012","299894012"
"299894012","158284005"
"158284005","299894012"
"299894012","158284006"
"158284006","299894012"
"299894012","234415008"
"234415008","299894012"
"299894012","234415009"
"234415009","299894012"
"299894012","234415010"
"234415010","299894012"
